"address","geohash","s2","addr_res","gh_res","s2_res","tp"
"Rm Mitra Jaya, Jalan Raya Cibening, RT.12/RW.4, Kampung Mekarjaya, Bungursari, Kab. Purwakarta, Jawa Barat 41182, Indonesia","qqu7j9snzy1b","5a0da691a2226adb","[2,1057,1065,47,4,6,22,2449,4,211,11,43,4,40,1869,4,1297,4,9,293,4,10,12,2423,4,5,3,1,1,1,1,1,1,1,1,1,1]","[2,4,4,6,31,28,32,23,22,14,17,27,19,3]","[2,4,5,7,6,5,17,10,8,5,11,11,11,17,5,6,14,3]","train"
"Kontrakn Pak Haji Carman, No. 10, RT.3/RW.1, Kampung Cariu, Kotabaru, Kab. Karawang, Jawa Barat 41314, Indonesia","qqu7tuj0cgyd","5a0da6756f2fd1fb","[2,4483,175,208,0,4,7,110,4,31,11,32,4,40,3526,4,1023,4,9,85,4,10,12,998,4,5,3,1,1,1,1,1,1,1,1,1,1]","[2,4,4,6,31,20,6,28,10,30,7,17,33,3]","[2,4,5,7,6,5,17,9,4,17,12,11,12,6,8,12,14,3]","test"
"Jalan Perintis Gang Perintis I No. 1, Pal Sembilan, Sei/sungai Kakap, Kab. Kubu Raya, Kalimantan Barat 78381, Indonesia","qrvxx54944yp","5a081dc4ce60f219","[2,6,761,17,761,36,7,41,4,1900,2785,4,148,11,403,2071,4,9,565,22,4,44,12,3456,4,5,3,1,1,1,1,1,1,1,1,1,1]","[2,4,11,13,9,9,24,21,32,21,21,17,16,3]","[2,4,5,7,16,8,6,18,19,18,15,17,7,12,11,8,10,3]","train"
"Ten Billiard, Jalan Pinus Raya Blok Rb 1 No. 10, Rawa Buntu, Rawabuntu, Serpong, Kota Tangerang Selatan, Banten 15310, Indonesia","qqgu5efdyum9","5a0d2ba6d295181f","[2,14651,18763,4,6,2767,22,14,8390,41,7,110,4,222,559,4,2523,4,192,4,8,29,16,4,23,898,4,5,3,1,1,1,1,1,1,1,1]","[2,4,4,7,6,24,35,26,33,17,6,25,32,3]","[2,4,5,7,6,11,14,5,17,6,11,10,4,8,16,8,12,3]","train"
"Kost Putri Warna Putih, Jalan Legislatif No. 6d, Gunung Pangilun, Nanggalo, Kota Padang, Sumatera Barat, Indonesia","qpz6gffh6sfp","5a8010b9d2af5bf7","[2,137,178,760,195,4,6,0,7,11764,4,89,5701,4,2003,4,8,83,4,21,12,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,16,14,18,7,26,26,12,18,23,26,16,3]","[2,4,5,16,7,8,7,14,10,6,11,5,12,4,14,12,9,3]","test"
"Jalan Suhada Gang II, RT.2/RW.5, Kelurahan Dalpenang, Sampang, Kab. Sampang, Jawa Timur 69216, Indonesia","qw8x14y8qbgu","59f7b4a1a451d9a1","[2,6,12508,17,48,4,27,11,49,4,30,22976,4,616,4,9,616,4,10,13,8592,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,5,8,9,27,21,17,8,4,19,7,6,3]","[2,4,10,12,9,14,19,5,8,5,19,4,8,6,10,5,8,3]","train"
"Ps. Lama, Jalan Sulawesi, RT.18/RW.2, Pasar Lama, Banjarmasin Tengah, Kota Banjarmasin, Kalimantan Selatan 70117, Indonesia","qx3mpt7k12w0","59fb95644b94eeef","[2,3038,196,4,6,63,4,543,11,33,4,79,196,4,157,19,4,8,157,4,44,16,7418,4,5,3,1,1,1,1,1,1,1,1,1,1,1]","[2,4,9,29,25,16,20,31,34,27,15,5,10,3]","[2,4,10,12,14,10,4,17,19,19,14,10,19,15,15,15,12,3]","train"
"RT.4, Badongan, Sanggrahan, Grogol, Kab. Sukoharjo, Jawa Tengah 57552, Indonesia","qqwuc4z6zrbz","5a1b13ef70fe4e9b","[2,38,4,34381,4,3584,4,274,4,9,341,4,10,19,1873,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,5,6,30,21,14,18,14,11,19,14,3]","[2,4,5,8,14,8,13,15,12,9,7,12,15,19,15,10,14,3]","train"
"Gintung Lor, Arjawinangun, Kab. Cirebon, Jawa Barat 45162, Indonesia","qqv44wepx1zr","5a0e124a11388c23","[2,2659,271,4,2073,4,9,168,4,10,12,2942,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,13,21,21,5,35,16,9,27,14,11,3]","[2,4,5,7,15,8,11,19,5,8,8,13,16,16,18,11,13,3]","test"
"Angkringan 567, Jalan Nangka III, Pugeran, Depok, Kab. Sleman, Di Yogyakarta 55283, Indonesia","qqwebcbdtu1m","5a1ae393ec97ef25","[2,3784,27564,4,6,485,71,4,14522,4,67,4,9,160,4,82,70,1804,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,5,35,19,30,19,33,20,6,27,25,3]","[2,4,5,8,5,15,13,10,13,15,18,10,9,15,12,11,4,3]","train"
"Kec. Lubuk Pakam, Tanjung Garbus I, Lubuk Pakam, Kab. Deli Serdang, Sumatera Utara 20517, Indonesia","w0wk68g6t2vb","5078defbe8b5b075","[2,3713,163,2257,4,57,5997,36,4,163,2257,4,9,167,159,4,21,18,9371,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,5,10,5,34,18,8,7,18,20,15,13,19,3]","[2,4,7,9,16,6,15,12,14,15,16,14,4,14,7,9,4,3]","val"
"Perumahan Cipamokolan, Jalan Cipamokolan No. B2, RT.5/RW.1, Cipamokolan, Rancasari, Kota Bandung, Jawa Barat 40292, Indonesia","qqu8d0xum9st","5a0d96be134d5005","[2,24,4360,4,6,4360,7,624,4,52,11,32,4,4360,4,1748,4,8,37,4,10,12,2043,4,5,3,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,6,8,33,10,9,6,25,32,23,20,3]","[2,4,5,7,6,10,17,14,15,8,13,19,6,4,7,7,4,3]","train"
"Komplek Bumi Handayani Xiii, Jalan Bumi Mas Raya, RT.36/RW.4, Kelurahan Pemurus Baru, Banjarmasin Selatan, Kota Banjarmasin, Kalimantan Selatan 70249, Indonesia","qx3kzzppds9r","59fbbfd2a8efcae9","[2,88,140,5322,17157,4,6,140,142,22,4,2514,11,43,4,30,1942,45,4,157,16,4,8,157,4,44,16,9334,4,5,3,1,1,1,1,1,1]","[2,4,9,29,34,14,14,16,16,33,23,32,11,3]","[2,4,10,12,14,14,12,6,11,5,16,15,12,18,5,15,10,3]","train"
"Perumahan Citra Grand Cluster Riverside, No. A9, Sambiroto, Tembalang, Kota Semarang, Jawa Tengah 50276, Indonesia","qqwxcrpdkbfu","5a1ad7f6f4ed9d01","[2,24,216,205,118,4567,4,7,2023,4,2872,4,576,4,8,84,4,10,19,7481,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,5,9,30,11,16,33,34,19,26,6,3]","[2,4,5,8,5,6,9,12,17,12,19,15,6,10,6,7,8,3]","train"
"Unnamed Road, Sukoreno, Gandusari, Kab. Blitar, Jawa Timur 66187, Indonesia","qqxf732pqxu5","5a1dbae012bbf4ef","[2,3105,1794,4,16817,4,5909,4,9,503,4,10,13,10995,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,9,26,31,29,15,16,4,9,6,24,3]","[2,4,5,8,6,14,5,15,7,8,11,14,14,12,19,15,12,3]","train"
"Jalan Pecoh Indah Lk II Gang Gudang Gipsun, RT.15/RW.0, Kelurahan Bumi Raya, Bumi Waras, Kota Bandar Lampung, Lampung 35228, Indonesia","qr4c5fcbmnm9","5a73e7d5515521ff","[2,6,35515,51,1693,48,17,494,0,4,332,11,843,4,30,140,22,4,140,2404,4,8,116,42,4,42,21861,4,5,3,1,1,1,1,1,1,1]","[2,4,11,21,30,24,26,30,19,25,22,25,32,3]","[2,4,5,9,13,15,9,6,4,4,8,4,4,11,8,12,12,3]","train"
"RT.33, Bokor, Sidoharjo, Kab. Sragen, Jawa Tengah 57281, Indonesia","qqwvstsqc9km","5a1b6bc01b031f17","[2,1966,4,10898,4,3135,4,9,763,4,10,19,8998,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,5,13,23,20,23,4,30,32,34,25,3]","[2,4,5,8,14,17,14,18,7,8,14,7,13,8,12,8,9,3]","test"
"Villa Anggrek 1, Jalan Air Dingin Blok Z No. 13, Balai Gadang, Koto Tangah, Kota Padang, Sumatera Barat 25171, Indonesia","qpz7k0ew2wqd","5a80109f03cdf301","[2,191,387,41,4,6,217,5337,14,3080,7,231,4,444,823,4,257,575,4,8,83,4,21,12,1413,4,5,3,1,1,1,1,1,1,1,1,1]","[2,4,16,14,31,34,10,35,5,15,5,4,33,3]","[2,4,5,16,7,8,7,10,12,7,13,18,6,12,13,7,8,3]","train"
"Kompleks Premier Residence, Jalan Besar Tritura Blok C No. 3, Suka Maju, Medan Johor, Kota Medan, Sumatera Utara 20143, Indonesia","w0whju1rxsxt","5078e346b07b1543","[2,273,5351,105,4,6,233,11644,14,119,7,58,4,298,1053,4,46,780,4,8,46,4,21,18,5659,4,5,3,1,1,1,1,1,1,1,1,1]","[2,5,10,5,12,28,6,27,11,9,23,9,20,3]","[2,4,7,9,16,15,13,19,17,14,7,9,14,8,4,19,13,3]","test"
"Jalan Joyoboyo Gang I No. 67, RT.1/RW.14, Sukorejo, Ngasem, Kab. Kediri, Jawa Timur 64184, Indonesia","qqxet7j62dqk","5a1c54d191a651d7","[2,6,9679,17,36,7,937,4,25,11,264,4,893,4,1502,4,9,206,4,10,13,3138,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,9,35,20,31,28,18,15,33,4,34,3]","[2,4,5,8,18,4,19,6,8,10,8,5,17,4,8,6,9,3]","test"
"Jalan Desa Cirangkong Gang Nangka, RT.6/RW.2, Kampung Cirangkong, Cibatu, Kab. Purwakarta, Jawa Barat 41183, Indonesia","qqu6yv2ncg8s","5a0da46edb9f4b53","[2,6,26,14905,17,485,4,62,11,33,4,40,14905,4,1592,4,9,293,4,10,12,12007,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,6,18,17,13,15,22,30,7,8,23,3]","[2,4,5,7,6,5,19,17,15,6,14,10,12,19,14,4,13,3]","train"
"Kontrakan Pak Mito, Jalan Bambu I No. 12b, RT.9/RW.5, Srengseng, Kembangan, Kota Jakarta Barat, Dki Jakarta 11630, Indonesia","qqgutq1tpn7h","5a0d29a591df7d81","[2,96,175,0,4,6,377,36,7,2451,4,136,11,49,4,1127,4,337,4,8,15,12,4,20,15,3197,4,5,3,1,1,1,1,1,1,1,1]","[2,4,4,7,6,20,4,27,20,16,22,31,12,3]","[2,4,5,7,6,11,10,5,4,10,8,6,12,9,6,16,8,3]","train"
"Toko Roslita, Jalan Desa Tanjung Gunung, RT.3/RW.0, Tanjung Gunung, Pangkalan Baru, Kab. Bangka Tengah, Bangka Belitung 33684, Indonesia","qree2x4qdb1m","5a74dfb4cb45eb7b","[2,64,0,4,6,26,57,89,4,31,11,843,4,57,89,4,354,45,4,9,171,19,4,171,232,8061,4,5,3,1,1,1,1,1,1,1,1]","[2,4,11,35,35,15,9,21,4,33,19,27,25,3]","[2,4,5,9,19,6,12,14,19,18,14,19,4,15,14,9,14,3]","val"
"Situ Gintung Hills, Jalan Gunung Raya Dalam No. 46 C, RT.5/RW.11, Cireundeu, Ciputat Timur, Kota Tangerang Selatan, Banten 15419, Indonesia","qqgujsbrgrmz","5a0d2923dbdb0b33","[2,1825,2659,1954,4,6,89,22,190,7,510,119,4,52,11,145,4,3836,4,295,13,4,8,29,16,4,23,2204,4,5,3,1,1,1,1,1,1]","[2,4,4,7,6,28,23,19,11,7,11,25,14,3]","[2,4,5,7,6,11,10,11,13,6,14,6,14,7,14,13,13,3]","train"
"Jalan Kelud No. 27 B, RT.2/RW.2, Kelurahan Ketapang, Kademangan, Kota Probolinggo, Jawa Timur 67222, Indonesia","qw87zknu69e4","59f6388563869137","[2,6,5980,7,262,87,4,27,11,33,4,30,498,4,1534,4,8,456,4,10,13,19766,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,5,8,31,14,34,22,6,18,32,35,21,3]","[2,4,10,12,17,13,16,16,4,17,13,16,17,10,8,13,9,3]","test"
"Tenda Adelia, Jalan Eka Bakti No. 2483, Lapangan, Ilir Timur I, Kota Palembang, Sumatera Selatan 30125, Indonesia","qr6rpg0kwf84","5a7692309ecc7f7d","[2,5288,14215,4,6,1732,382,7,0,4,462,4,133,13,36,4,8,102,4,21,16,9161,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,11,18,11,16,7,10,34,5,26,8,21,3]","[2,4,5,9,17,10,11,13,7,10,15,18,18,9,12,9,6,3]","val"
"Jalan Diponegoro No. 33, Kelurahan Sukabumi, Mayangan, Kota Probolinggo, Jawa Timur, Indonesia","qw8ebjp4z320","59f6476d1480be9f","[2,6,935,7,326,4,30,179,4,2823,4,8,456,4,10,13,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,5,8,35,19,28,16,21,14,29,15,10,3]","[2,4,10,12,17,19,9,17,6,8,19,16,7,14,15,10,12,3]","train"
"Perum Mulya Asri 2, Blok I1 No. 56, Cikupa, Kab. Tangerang, Banten 15710, Indonesia","qqgsrxdu3378","5a72d63c3fb6e307","[2,56,300,106,39,4,14,4030,7,625,4,446,4,9,29,4,23,437,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,7,23,11,9,33,6,29,29,31,8,3]","[2,4,5,9,11,6,17,13,18,13,12,14,17,15,13,7,9,3]","train"
"D Omah Residence Ii, Jalan Kampung Utan No. 11, RT.1/RW.8, Cemp. Putih, Cempaka Putih, Ciputat Timur, Kota Tangerang Selatan, Banten 15412, Indonesia","qqgujn6qupzw","5a0d296aea4006e5","[2,144,3022,105,176,4,6,40,1042,7,128,4,25,11,73,4,4554,195,4,225,195,4,295,13,4,8,29,16,4,23,1203,4,5,3,1,1,1]","[2,4,4,7,6,28,22,18,4,6,16,14,5,3]","[2,4,5,7,6,11,10,17,5,15,5,19,7,7,17,15,4,3]","test"
"Perumahan Gbj 2, Blok C9 No. 1, Tlajung Udik, Gunung Putri, Kab. Bogor, Jawa Barat 16370, Indonesia","qqu52v7syemx","5a0d2480c881f57d","[2,24,31685,39,4,14,2487,7,41,4,2445,794,4,89,178,4,9,34,4,10,12,1922,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,6,24,15,13,31,23,17,35,25,9,3]","[2,4,5,7,6,11,19,16,7,18,16,16,8,12,4,9,6,3]","train"
"Blok Ak No. 15, RT.1/RW.9, Cikande Permai, Cikande, Kab. Serang, Banten 42186, Indonesia","qqgsefvehpwp","5a73274d443462d9","[2,14,5338,7,153,4,25,11,94,4,964,92,4,964,4,9,97,4,23,1715,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,7,23,35,26,13,35,12,16,5,16,3]","[2,4,5,9,13,11,9,19,6,19,19,13,19,17,11,6,10,3]","train"
"Jalan Kendung Rejo Ixa No. 6, RT.5, Kelurahan Sememi, Benowo, Kota Surabaya, Jawa Timur 60198, Indonesia","qw8nepksxbw4","5a1d7a2b183f7939","[2,6,8561,281,27068,7,91,4,52,4,30,2333,4,1062,4,8,61,4,10,13,3223,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,5,8,22,35,16,34,23,9,19,5,21,3]","[2,4,5,8,6,9,5,11,14,8,16,13,12,9,10,13,10,3]","train"
"Linda Resi, Jalan Rimba Kemuning No. 1400, RT.24/RW.3, Kelario Kemuning, Ario Kemuning, Kemuning, Kota Palembang, Sumatera Selatan 30128, Indonesia","qr6rpqr1zru4","5a7692414c36819f","[2,6954,30592,4,6,4660,547,7,0,4,1026,11,35,4,0,547,4,10296,547,4,547,4,8,102,4,21,16,5896,4,5,3,1,1,1,1,1,1]","[2,4,11,18,11,16,4,11,27,14,11,6,21,3]","[2,4,5,9,17,10,11,19,8,19,18,13,17,16,8,10,12,3]","test"
"Alfamart Grand Residence City Grcy, Jalan Perum Grand Residence Blok Rr No. 79, RT.1, Cijengkol, Setu, Kab. Bekasi, Jawa Barat 17320, Indonesia","qquh58m7f9z5","5a0d18eb7a0d22f1","[2,735,205,105,245,0,4,6,56,205,105,14,7126,7,1154,4,25,4,3940,4,288,4,9,28,4,10,12,736,4,5,3,1,1,1,1,1,1]","[2,4,4,6,12,24,8,25,31,26,32,14,24,3]","[2,4,5,7,6,8,16,15,14,9,5,7,6,11,11,12,8,3]","train"
"Perumaha Jaya Sampurna Residance, Blok G7 No. 1, Sukaresmi, Cikarang Selatan, Kab. Bekasi, Jawa Barat 17851, Indonesia","qqu5ucnvu2gu","5a0d199cb89e9e27","[2,10139,47,615,1620,4,14,4285,7,41,4,1256,4,120,16,4,9,28,4,10,12,1616,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,6,24,6,30,22,13,6,15,7,6,3]","[2,4,5,7,6,8,10,10,18,14,16,10,15,10,15,11,9,3]","train"
"Kompleks Uptd Kecamatan Pagerageung, Pagerageung, Pagerageung, Kab. Tasikmalaya, Jawa Barat 46158, Indonesia","qqszt0rz4j92","5a0dfd6bf7ceb18b","[2,273,9020,2718,8761,4,8761,4,8761,4,9,261,4,10,12,10775,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,23,14,20,10,11,14,21,28,32,15,3]","[2,4,5,7,6,12,6,17,14,12,9,18,15,14,8,16,14,3]","test"
"Gang X No. 55, RT.7/RW.5, Bandung Rejosari, Kepuh, Sukun, Kota Malang, Jawa Timur 65148, Indonesia","qw846v3tux7z","5a1d91e3e5c404ef","[2,17,372,7,610,4,81,11,49,4,37,1998,4,1704,4,583,4,8,90,4,10,13,3604,4,5,3,1,1,1,1,1,1,1,1,1,1,1]","[2,4,5,8,21,18,13,29,20,6,9,31,14,3]","[2,4,5,8,6,10,8,15,13,15,4,18,19,7,19,15,12,3]","val"
"Jalan Soeroharjo No. 80, Dusun Gondang, Tembelang, Kab. Jombang, Jawa Timur 61452, Indonesia","qqxv38jrps2u","5a1d087fdec57a37","[2,6,0,7,1081,4,55,1135,4,6500,4,9,255,4,10,13,8681,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,9,13,29,8,28,11,16,23,15,6,3]","[2,4,5,8,6,7,16,9,12,6,15,18,4,9,5,13,9,3]","train"
"Toko Grosir Manzuh, Jalan Kuangwae Menceh, Dusun Karang Comen, Menceh, Sakra Timur, Kab. Lombok Timur, Nusa Tenggara Barat (Ntb) 83674, Indonesia","qw6yk01ybv6r","59eda91d90420165","[2,64,2776,0,4,6,0,32563,4,55,103,0,4,32563,4,3275,13,4,9,253,13,4,114,125,12,53,152,54,10283,4,5,3,1,1,1,1,1]","[2,4,5,18,17,34,10,27,17,19,13,18,11,3]","[2,4,10,15,6,5,10,8,6,10,7,19,11,7,8,17,4,3]","test"
"Jalan Inpres No. 38 C, RT.16/RW.6, Pulo Gebang, Cakung, Kota Jakarta Timur, Dki Jakarta 13950, Indonesia","qquh9y823jcf","5a0d210c73090163","[2,6,1687,7,381,119,4,408,11,59,4,229,361,4,207,4,8,15,13,4,20,15,1397,4,5,3,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,6,12,32,17,8,15,29,28,30,26,3]","[2,4,5,7,6,11,8,7,18,9,13,7,10,7,8,17,13,3]","train"
"Nice Bowl, Jalan Pasar I Gang Beo No. 9a, Tanjung Sari, Medan Selayang, Kota Medan, Sumatera Utara 20132, Indonesia","w0whk204m83r","5078fc642c3d0921","[2,20028,31672,4,6,79,36,17,6812,7,2099,4,57,76,4,46,631,4,8,46,4,21,18,2914,4,5,3,1,1,1,1,1,1,1,1,1,1]","[2,5,10,5,12,34,15,10,21,25,8,29,11,3]","[2,4,7,9,16,12,18,17,19,11,18,13,6,7,10,11,8,3]","test"
"Puri Kencana, No. 33, Kembangan Selatan, Kembangan, Kota Jakarta Barat, Dki Jakarta 11610, Indonesia","qqguv15jhpbf","5a0d29bda94dfc05","[2,146,356,4,7,326,4,337,16,4,337,4,8,15,12,4,20,15,1132,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,7,6,13,27,24,28,12,16,19,26,3]","[2,4,5,7,6,11,10,14,6,5,10,19,6,12,18,7,4,3]","train"
"Perum Putri Dinar Lestari, Blok A2 No. 5, Tanjungkamuning, Tanjung Kamuning, Tarogong Kaler, Kab. Garut, Jawa Barat 44151, Indonesia","qqsxr21emq14","5a0df1fe95187407","[2,56,178,6453,320,4,14,621,7,72,4,0,4,57,12807,4,1005,468,4,9,263,4,10,12,1372,4,5,3,1,1,1,1,1,1,1,1,1]","[2,4,4,23,9,11,15,27,35,25,4,27,21,3]","[2,4,5,7,6,12,8,12,15,10,4,8,16,9,19,7,9,3]","train"
"Kos Costin, Jalan S No. 4b, RT.8/RW.17, Palmerah, Palmerah, Kota Jakarta Barat, Dki Jakarta 11480, Indonesia","qqguwncph1s0","5a0d285e91471185","[2,147,0,4,6,413,7,3008,4,108,11,458,4,553,4,553,4,8,15,12,4,20,15,1628,4,5,3,1,1,1,1,1,1,1,1,1,1]","[2,4,4,7,6,5,22,30,16,12,27,23,10,3]","[2,4,5,7,6,11,16,4,15,10,8,19,9,8,8,16,4,3]","train"
"Kontrakan G3, Gang Madura No. 4, Ds. Sukaresmi, Cikarang Selatan, Kab. Bekasi, Jawa Barat 17852, Indonesia","qqu5vx4915p0","5a0d1bcc53c975cf","[2,96,2338,4,17,1283,7,80,4,173,1256,4,120,16,4,9,28,4,10,12,5483,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,6,24,13,9,21,32,27,24,16,10,3]","[2,4,5,7,6,8,14,18,18,4,13,18,10,9,4,18,12,3]","test"
"Gang Teratai II, Pemurus Luar, Banjarmasin Timur, Kota Banjarmasin, Kalimantan Selatan 70654, Indonesia","qx3sbrzepb2c","59fbbe22b5658a9f","[2,17,945,48,4,1942,879,4,157,13,4,8,157,4,44,16,3947,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,9,29,23,19,11,14,35,16,19,15,30,3]","[2,4,10,12,14,14,15,11,11,14,4,17,4,16,5,10,12,3]","train"
"Jalan Griya Cendekia Blok F6 No. 18 A, Curug, Gunung Sindur, Kab. Bogor, Jawa Barat, Indonesia","qqggskthe74h","5a0d2c06744af5f5","[2,6,78,10168,14,2967,7,172,66,4,283,4,89,837,4,9,34,4,10,12,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,7,7,23,34,20,12,35,31,21,12,3]","[2,4,5,7,6,11,18,7,17,9,19,19,5,12,4,12,4,3]","train"
"Toko Tiga Dewi Accesoris Ice Cream Snow, Cipeujeuh Wetan, Lemahabang, Kab. Cirebon, Jawa Barat 45183, Indonesia","qqv1psqu7rew","5a0e3cc84b39e4a7","[2,64,538,908,31455,6136,7147,30071,4,10551,162,4,2468,4,9,168,4,10,12,6642,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,13,27,16,23,4,6,31,11,35,5,3]","[2,4,5,7,15,13,18,18,16,19,14,13,10,15,19,5,9,3]","train"
"Bidan Hani, Jalan Taman Pahlawan Gang Ikhlas, RT.17/RW.7, Purwamekar, Babakancikao, Kab. Purwakarta, Jawa Barat 41151, Indonesia","qqu6ufcezpyd","5a0da718ae7bd6d3","[2,872,15493,4,6,111,484,17,1013,4,473,11,65,4,13005,4,3034,4,9,293,4,10,12,3440,4,5,3,1,1,1,1,1,1,1,1,1,1]","[2,4,4,6,18,6,26,30,35,14,16,17,33,3]","[2,4,5,7,6,5,9,8,16,5,15,9,14,6,17,6,13,3]","train"
"Kaplingan Wahit Asri, Paesan Utara, Kelurahan Kedungwuni Barat, Kedungwuni, Kab. Pekalongan, Jawa Tengah 51173, Indonesia","qqvbrj8b0r1m","5a1001c8c8f06a69","[2,7465,38394,106,4,21722,18,4,30,1766,12,4,1766,4,9,254,4,10,19,2464,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,13,19,11,28,8,19,10,11,27,25,3]","[2,4,5,8,7,7,8,18,16,18,16,12,7,17,5,17,10,3]","test"
"Komplek Mitra Bakti, Jalan Jalur III Blok D No. 46, Handil Bakti, Alalak, Kab. Barito Kuala, Kalimantan Selatan 70582, Indonesia","qx3t2ksysys0","59fb95bec2a3d73d","[2,88,1065,382,4,6,1383,71,14,144,7,510,4,1976,382,4,2055,4,9,1277,705,4,44,16,5335,4,5,3,1,1,1,1,1,1,1,1,1]","[2,4,9,29,20,15,34,23,17,23,17,23,10,3]","[2,4,10,12,14,10,4,14,15,18,11,5,13,6,9,13,6,3]","test"
"Perumahan Sukawana Asri, Blok G1 No. 28, Kelueahan Sukawana, Sukawana, Cipocok Jaya, Kota Serang, Banten 42121, Indonesia","qqgkzff68tm6","5a731e85e56f0f95","[2,24,7066,106,4,14,1625,7,265,4,0,7066,4,7066,4,1001,47,4,8,97,4,23,2317,4,5,3,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,7,34,14,26,26,18,8,20,25,18,3]","[2,4,5,9,13,8,15,16,4,15,4,17,12,7,12,10,4,3]","train"
"Pondok Pesantren, Jalan Mlaten Kota I Gang Fals, Gadingmangu, Perak, Kab. Jombang, Jawa Timur 61461, Indonesia","qqxubnznz9xb","5a1d071093eba81b","[2,60,358,4,6,7522,8,36,17,0,4,14718,4,1697,4,9,255,4,10,13,6701,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,9,6,19,22,14,22,14,32,9,19,3]","[2,4,5,8,6,7,9,8,7,10,13,15,14,5,16,8,14,3]","train"
"Apartment Casablanca East Residence, Jalan Pahlawan Revolusi Blok Dalas No. 2, /RW.2, Pondok Bambu, Duren Sawit, Kota Jakarta Timur, Dki Jakarta 13430, Indonesia","qquh8dbwe46y","5a0d26c6658af601","[2,366,6648,3555,105,4,6,484,6009,14,0,7,39,4,143,11,33,4,60,377,4,220,319,4,8,15,13,4,20,15,1797,4,5,3,1,1,1]","[2,4,4,6,12,8,33,19,5,35,21,18,17,3]","[2,4,5,7,6,11,17,18,17,17,4,16,5,12,17,7,8,3]","train"
"Jalan Raya Tlogomas Ngelo Gang XII No. 34, RT.4/RW.7, Tlogomas, Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia","qw84fm2b43tu","5a1d90389f155841","[2,6,22,3392,13666,17,704,7,374,4,38,11,65,4,3392,4,469,4,8,90,4,10,13,1322,4,5,3,1,1,1,1,1,1,1,1,1,1]","[2,4,5,8,21,26,25,15,19,21,29,20,6,3]","[2,4,5,8,6,10,7,13,16,10,12,8,4,4,16,19,8,3]","train"
"Kanan Madrasah, RT.1/RW.4, Desa Joho, Bawang, Kab. Banjarnegara, Jawa Tengah 53471, Indonesia","qqtvy56n1012","5a100f42b573910f","[2,1068,1303,4,25,11,43,4,26,4592,4,646,4,9,1308,4,10,19,8462,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,20,13,17,24,18,22,27,10,27,15,3]","[2,4,5,8,7,7,12,19,11,14,4,9,13,10,8,7,12,3]","test"
